"","nama_produk","harga_final","unit"
"44","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp189,900","500 g"
"45","L-Men Minuman Susu Cokelat Rendah Lemak dengan Protein Whey","Rp12,500","200 ml"
"46","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp77,900","225 g"
"47","L-Men Gainmass dengan Protein Whey","Rp72,900","225 g"
"48","L-Men Advanced Susu Formula Whey Protein Rasa Cappuccino","Rp101,900","250 g"
"49","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Pisang untuk Tambahan Olahraga","Rp77,900","225 g"
"50","HiLo School Susu Rasa Vanila","Rp53,900","350 g"
"51","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp47,900","250 g"
"52","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp95,900","500 g"
"53","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp47,900","250 g"
"54","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp91,900","500 g"
"55","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp110,900","750 g"
"56","HiLo Susu Bubuk Tinggi Kalsium Rendah Lemak Rasa Cokelat Belgia","Rp25,900","4 x 30 g"
"57","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp76,900","500 g"
"58","HiLo Active Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp38,900","250 g"
"59","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp81,900","500 g"
"60","HiLo Susu Rasa Cokelat Kacang Hazel","Rp29,900","10 x 14 g"
"61","HiLo Teen Susu Bubuk Rasa Vanila Karamel","Rp132,900","750 g"
"62","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Madu","Rp47,900","250 g"
"63","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tiramisu","Rp8,500","200 ml"
"64","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila VegiBeri","Rp91,900","500 g"
"65","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp47,900","250 g"
"66","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Yogurt Pisang","Rp47,900","250 g"
"67","HiLo Yoghurt Smoothie Bowl","Rp79,900","240 g"
"68","HiLo Ready To Drink Kacang Hijau","Rp7,900","200 ml"
"69","HiLo School Minuman Susu Cokelat","Rp8,500","200 ml"
"70","HiLo School Minuman Susu Tinggi Kalsium Kurang Lemak Rasa VegiBeri","Rp8,500","200 ml"
"71","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tawar 51 Tahun","Rp41,900","200 g"
"72","HiLo Ready To Drink Susu Gula Aren","Rp7,900","200 ml"
"73","HiLo Cokelat Taro","Rp7,900","200 ml"
"74","HiLo Minuman Teh Thai","Rp7,900","200 ml"
"75","HiLo Platinum Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Swiss","Rp112,900","420 g"
"76","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat 51 Tahun","Rp44,900","250 g"
"77","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium dan Kurang Lemak 51 Tahun","Rp94,900","500 g"
"78","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp41,900","200 g"
"79","Lokalate Kopi Alpukat","Rp20,900","15 g"
"80","Lokalate Kopi Gula Aren","Rp20,900","15 g"
