"","nama_produk","harga_final","unit"
"55","HiLo Teen Minuman Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp5,600","200 ml"
"56","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp39,800","250 g"
"57","HiLo Susu Bubuk Tinggi Kalsium Rendah Lemak Rasa Cokelat Belgia","Rp21,600","4 x 30 g"
"58","HiLo Active Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp32,900","250 g"
"59","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp39,800","250 g"
"60","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp33,000","200 g"
"61","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp39,800","250 g"
"62","HiLo Susu Rasa Cokelat Kacang Hazel","Rp24,100","10 x 14 g"
"63","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Madu","Rp78,100","500 g"
"64","HiLo Susu Bubuk Rasa Kacang Hijau","Rp43,900","200 g"
"65","HiLo School Minuman Susu Cokelat","Rp6,900","200 ml"
"66","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp76,100","500 g"
"67","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp35,900","200 g"
"68","HiLo Yoghurt Smoothie Bowl","Rp85,000","240 g"
"69","HiLo School Minuman Susu Tinggi Kalsium Kurang Lemak Rasa VegiBeri","Rp6,900","200 ml"
"70","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat 51 Tahun","Rp37,300","250 g"
"71","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tawar 51 Tahun","Rp35,900","200 g"
"72","HiLo Ready To Drink Susu Gula Aren","Rp6,200","200 ml"
"73","HiLo Platinum Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Swiss","Rp95,400","420 g"
"74","HiLo Cokelat Taro","Rp7,200","200 ml"
"75","HiLo Minuman Teh Thai","Rp6,900","200 ml"
"76","HiLo Ready To Drink Kacang Hijau","Rp6,200","200 ml"
"77","Lokalate Kopi Alpukat","Rp18,500","15 g"
