"","nama_produk","harga_final","unit"
"41","Tropicana Slim Extra Virgin Olive Oil","Rp92,500","500 ml"
"42","Tropicana Slim Golden Mil","Rp35,900","6 x 25 g"
"43","Tropicana Slim Oat Drink Vanillicious","Rp8,900","190 g"
"44","Tropicana Slim Sweetener Lemongrass Pandan","Rp51,900","100 g"
"45","Tropicana Slim Sweetener Jahe","Rp51,900","100 g"
"46","Nutrifood Tropicana Slim Avocado Coffee","Rp15,900","14 g"
"47","Nutrifood Tropicana Slim ","Rp24,500","71 g"
"48","NutriSari Jeruk Jeju Minuman Serbuk","Rp17,200","140 g"
"49","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Brasil","Rp16,900","10 x 11 g"
"50","NutriSari Minuman Serbuk Instan Rasa Jeruk Florida","Rp17,500","140 g"
"51","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp43,500","500 g"
"52","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Amerika","Rp14,500","140 g"
"53","NutriSari Minuman Serbuk Rasa Jeruk Manis","Rp43,900","500 g"
"54","NutriSari Minuman Serbuk Rasa Jeruk Manis","Rp63,500","750 g"
"55","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis","Rp21,500","250 g"
"56","NutriSari Smoothie Mangga","Rp7,900","200 ml"
"57","NutriSari Minuman Serbuk Instan Rasa Jeruk Nipis Australia","Rp17,500","110 g"
"58","NutriSari Minuman Serbuk Rasa Jeruk Nipis","Rp43,500","500 g"
"59","NutriSari Minuman Campuran Jeruk & Madu","Rp6,900","200 ml"
"60","L-Men Lose Weight Rasa Cokelat Sereal","Rp135,900","300 g"
"61","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp174,900","500 g"
"62","L-Men Minuman Susu Cokelat Rendah Lemak dengan Protein Whey","Rp11,900","200 ml"
"63","L-Men Proteinmix 3in1 dengan Kopi","Rp55,900","198 g"
"64","L-Men L-Men Platinum Choco Latte","Rp111,900","6 x 33.5 g"
"65","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp76,900","225 g"
"66","L-Men Whey Protein Bar Rasa Crunchy Coklat","Rp9,700","25 g"
"67","L-Men Advanced Susu Formula Whey Protein Rasa Cappuccino","Rp91,900","250 g"
"68","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Pisang untuk Tambahan Olahraga","Rp76,900","225 g"
"69","L-Men Gainmass dengan Protein Whey","Rp68,900","225 g"
"70","HiLo School Susu Rasa Vanila","Rp49,900","350 g"
"71","HiLo Teen Minuman Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp6,400","200 ml"
"72","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp85,900","500 g"
"73","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp49,900","10 x 35 g"
"74","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp44,900","250 g"
"75","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp85,900","500 g"
"76","HiLo Active Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp36,900","250 g"
"77","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp35,500","200 g"
"78","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp71,900","500 g"
"79","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp44,900","250 g"
"80","HiLo Susu Rasa Cokelat Kacang Hazel","Rp29,500","10 x 14 g"
"81","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tiramisu","Rp7,900","200 ml"
"82","HiLo Susu Bubuk Rasa Kacang Hijau","Rp46,900","200 g"
"83","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila VegiBeri","Rp85,900","500 g"
"84","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Madu","Rp44,900","250 g"
"85","HiLo School Minuman Susu Cokelat","Rp7,900","200 ml"
"86","HiLo Minuman Rasa Cokelat dan Alpukat","Rp8,200","200 ml"
"87","HiLo Yoghurt Smoothie Bowl","Rp74,900","240 g"
"88","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp83,900","500 g"
"89","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Belgia","Rp52,900","10 x 30 g"
"90","HiLo Platinum Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Swiss","Rp101,900","420 g"
"91","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp85,900","500 g"
"92","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp39,900","200 g"
"93","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp79,900","500 g"
"94","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium dan Kurang Lemak 51 Tahun","Rp83,900","500 g"
"95","HiLo Minuman Rasa Cokelat dan Pisang","Rp8,200","200 ml"
"96","HiLo Cokelat Taro","Rp6,200","200 ml"
"97","HiLo Ready To Drink Susu Gula Aren","Rp6,200","200 ml"
"98","HiLo Ready To Drink Kacang Hijau","Rp6,900","200 ml"
"99","HiLo Minuman Teh Thai","Rp6,900","200 ml"
