"","nama_produk","harga_final","unit"
"35","Tropicana Slim GoldenMil Susu dengan Manuka Honey","Rp38,000","180 g"
"36","Tropicana Slim Extra Virgin Olive Oil","Rp105,000","500 ml"
"37","Tropicana Slim Oat Drink Vanillicious","Rp8,700","190 g"
"38","Tropicana Slim Sweetener Jahe","Rp50,000","100 g"
"39","Nutrifood Tropicana Slim ","Rp25,000","71 g"
"40","Nutrifood Tropicana Slim Avocado Coffee","Rp17,000","14 g"
"41","NutriSari Minuman Serbuk Rasa Jeruk Manis","Rp47,500","500 g"
"42","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp10,500","5 x 14 g"
"43","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp47,000","500 g"
"44","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis","Rp25,500","250 g"
"45","NutriSari Minuman Serbuk Instan Rasa Jeruk Florida","Rp18,400","140 g"
"46","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp152,500","500 g"
"47","L-Men Minuman Susu Cokelat Rendah Lemak dengan Protein Whey","Rp11,500","200 ml"
"48","L-Men Proteinmix 3in1 dengan Kopi","Rp59,000","198 g"
"49","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp184,000","500 g"
"50","L-Men Advanced Susu Formula Whey Protein Rasa Cappuccino","Rp98,500","250 g"
"51","L-Men Whey Protein Bar Rasa Crunchy Coklat","Rp9,500","25 g"
"52","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Pisang untuk Tambahan Olahraga","Rp76,000","225 g"
"53","HiLo Teen Minuman Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp6,400","200 ml"
"54","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp134,000","750 g"
"55","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp94,000","500 g"
"56","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp52,500","10 x 35 g"
"57","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp134,000","750 g"
"58","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp112,000","750 g"
"59","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp76,000","500 g"
"60","HiLo Teen Susu Bubuk Rasa Vanila Karamel","Rp134,000","750 g"
"61","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Madu","Rp92,000","500 g"
"62","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tiramisu","Rp8,000","200 ml"
"63","HiLo Susu Rasa Cokelat Kacang Hazel","Rp29,000","10 x 14 g"
"64","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila VegiBeri","Rp92,000","500 g"
"65","HiLo School Minuman Susu Cokelat","Rp8,000","200 ml"
"66","HiLo Platinum Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Swiss","Rp107,500","420 g"
"67","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium dan Kurang Lemak 51 Tahun","Rp89,500","500 g"
"68","HiLo School Minuman Susu Tinggi Kalsium Kurang Lemak Rasa VegiBeri","Rp8,000","200 ml"
"69","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp125,000","750 g"
"70","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp89,500","500 g"
"71","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Belgia","Rp56,500","10 x 30 g"
"72","HiLo Yoghurt Smoothie Bowl","Rp75,000","240 g"
"73","HiLo Ready To Drink Susu Gula Aren","Rp7,500","200 ml"
"74","HiLo Cokelat Taro","Rp6,300","200 ml"
"75","HiLo Minuman Teh Thai","Rp7,500","200 ml"
"76","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp92,100","500 g"
"77","HiLo Ready To Drink Kacang Hijau","Rp7,500","200 ml"
"78","Day 2 Day Telur Bebek Lokal Mentah","Rp22,900","1 packet"
