"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"39","6","SD NEGERI MARGOREJO V / 407","20533212","SD","Negeri","16 Mar 2022 13:13:12",10,269,10,13,5,10,2,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"40","7","SD NEGERI MARGOREJO VI524","20533213","SD","Negeri","18 Mar 2022 09:48:35",23,522,18,23,8,18,1,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"41","8","SD NEGERI SIDOSERMO I 427","20533278","SD","Negeri","08 Mar 2022 11:09:41",19,350,17,17,6,13,2,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"42","9","SD NEGERI SIWALANKERTO 1","20532319","SD","Negeri","22 Feb 2022 13:13:15",10,147,6,9,5,6,1,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"43","10","SD NEGERI SIWALANKERTO II419","20532320","SD","Negeri","10 Mar 2022 10:41:10",25,685,23,29,6,23,3,2,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"44","11","SD ADINDA","20531839","SD","Swasta","23 Dec 2021 09:53:16",0,0,0,9,1,8,1,2,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"45","12","SD AN-NAJIYAH SURABAYA","20531929","SD","Swasta","15 Mar 2022 08:36:59",23,174,7,10,2,13,2,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"46","13","SD K. PETRA 9 SURABAYA","20533013","SD","Swasta","08 Feb 2022 08:32:14",20,607,19,35,4,27,4,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"47","14","SD KYAI IBRAHIM","20533062","SD","Swasta","15 Mar 2022 13:48:42",14,552,19,24,6,22,1,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"48","15","SD SANTO CAROLUS","20549496","SD","Swasta","17 Mar 2022 00:01:40",9,491,16,22,11,17,2,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"49","16","SD TAQUMA","20532876","SD","Swasta","01 Mar 2022 10:34:57",14,352,13,17,2,18,1,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"50","17","SDS AL AZHAR SYFA BUDI","20552641","SD","Swasta","18 Mar 2022 09:59:10",10,127,7,14,2,12,1,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"51","Total","Total","Total","Total","Total","Total",281,6.289,233,312,88,248,27,21,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"52","1","SD NEGERI BABATAN I NO 456","20532950","SD","Negeri","15 Mar 2022 10:12:54",14,438,14,20,7,14,1,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"53","2","SD NEGERI BABATAN IV459","20532943","SD","Negeri","10 Mar 2022 10:39:37",13,483,16,28,7,21,0,2,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"54","3","SD NEGERI BALASKLUMPRIK I434","20532941","SD","Negeri","10 Mar 2022 09:40:40",26,553,18,25,8,9,0,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"55","4","SD NEGERI JAJAR TUNGGAL III","20533511","SD","Negeri","10 Mar 2022 11:16:10",22,688,23,30,10,19,1,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"56","5","SD NEGERI JAJARTUNGGAL I450","20533499","SD","Negeri","11 Feb 2022 11:30:53",9,258,10,13,6,8,0,2,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"57","6","SD NEGERI WIYUNG I453","20532305","SD","Negeri","14 Mar 2022 08:34:54",14,901,28,34,10,20,3,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"58","7","SD AL FATAH","20531847","SD","Swasta","18 Feb 2022 11:22:29",3,206,10,13,3,10,3,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"59","8","SD ANA MARITIM","20531941","SD","Swasta","27 Feb 2022 11:18:10",15,87,6,10,2,6,2,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"60","9","SD BRIGHT KIDDIE","20531907","SD","Swasta","15 Mar 2022 09:55:44",7,128,6,17,3,6,2,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"61","10","SD ISLAM DARUL ARQOM SURABAYA","20533049","SD","Swasta","31 Jul 2021 10:50:31",0,0,0,5,3,7,2,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"62","11","SD ISLAM TERPADU AT-TAQWA","20549495","SD","Swasta","18 Mar 2022 10:24:45",24,770,27,35,3,29,3,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"63","12","SD MAARIF HASANUDIN","20539078","SD","Swasta","09 Mar 2022 08:28:26",18,378,16,21,1,16,0,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"64","13","SD MUHAMMADIYAH 15 SURABAYA","20553981","SD","Swasta","25 Feb 2022 07:30:06",22,637,24,37,6,27,3,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"65","14","SD SAMPOERNA ACADEMY","70000866","SD","Swasta","15 Feb 2022 11:52:11",2,120,6,8,2,6,1,2,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"66","15","SD YBPK-3","20532804","SD","Swasta","18 Mar 2022 09:24:09",15,133,6,7,3,6,2,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"67","16","SD SPINS INTERACTIONAL SCHOOL SURABAYA","69882344","SPK SD","Swasta","15 Feb 2022 12:34:15",3,226,12,5,3,12,2,1,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"68","Total","Total","Total","Total","Total","Total",207,6.006,222,308,77,216,25,19,"Data Sekolah Kec. Wiyung - Dapodikdasmen.html"
"69","1","SD NEGERI KENDANGSARI I 276","20533576","SD","Negeri","11 Mar 2022 12:30:04",18,597,18,22,9,18,5,2,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"70","2","SD NEGERI KENDANGSARI II-277","20533575","SD","Negeri","08 Mar 2022 13:00:41",15,338,12,13,7,7,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"71","3","SD NEGERI KUTISARI I 268","20539112","SD","Negeri","17 Mar 2022 22:09:02",16,564,18,22,11,15,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"72","4","SD NEGERI KUTISARI II 269 SURABAYA","20533526","SD","Negeri","10 Mar 2022 14:22:22",11,302,11,10,6,11,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"73","5","SD NEGERI PANJANG JIWO I NO 265","20533181","SD","Negeri","11 Mar 2022 07:49:29",14,486,17,21,8,20,3,3,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"74","6","SD NEGERI TENGGILIS MEJOYO I","20532281","SD","Negeri","08 Mar 2022 08:23:35",12,364,12,14,7,12,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"75","7","SD AL MUFIDAH","20531934","SD","Swasta","14 Mar 2022 10:57:16",9,163,7,9,1,9,3,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"76","8","SD BISMA DUA","20531908","SD","Swasta","12 Mar 2022 12:07:01",12,169,8,12,7,8,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"77","9","SD ISKANDAR SAID","20533051","SD","Swasta","09 Mar 2022 19:47:30",17,416,15,16,4,12,1,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"78","10","SD ISLAM BAHRUL ULUM","20531952","SD","Swasta","15 Mar 2022 10:56:59",8,200,10,13,2,10,0,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"79","11","SD ISLAM SAROJA","20532991","SD","Swasta","08 Mar 2022 14:45:31",21,314,12,16,3,12,1,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"80","12","SD KARTIKA NASIONAL PLUS","20533007","SD","Swasta","23 Feb 2022 12:39:40",3,274,12,18,2,15,3,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"81","13","SD KRISTEN BETHEL SULUNG 3 SURABAYA","20533109","SD","Swasta","14 Mar 2022 12:34:52",18,76,6,6,3,6,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"82","14","SD KRISTEN ELEOS","20531913","SD","Swasta","10 Mar 2022 08:56:46",9,38,6,6,1,6,1,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"83","15","SD KYAI HASYIM","20533148","SD","Swasta","17 Mar 2022 11:38:04",17,385,12,15,2,13,2,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"84","16","SDS GODWINS SCHOOL","20568264","SPK SD","Swasta","03 Feb 2022 11:52:02",9,135,11,15,1,11,1,1,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"85","Total","Total","Total","Total","Total","Total",209,4.821,187,228,74,185,32,19,"Data Sekolah Kec. Tenggilis Mejoyo - Dapodikdasmen.html"
"86","1","SD NEGERI DR. SUTOMO I","20539095","SD","Negeri","17 Mar 2022 07:01:04",33,670,21,23,5,22,3,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"87","2","SD NEGERI DR. SUTOMO IX516","20532900","SD","Negeri","07 Mar 2022 14:37:14",12,94,6,7,4,6,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"88","3","SD NEGERI DR. SUTOMO V327","20532899","SD","Negeri","16 Mar 2022 13:32:19",28,1.304,42,48,15,26,1,2,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"89","4","SD NEGERI KEDUNGDORO I306","20533466","SD","Negeri","11 Mar 2022 11:25:00",10,122,6,8,4,4,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"90","5","SD NEGERI KEDUNGDORO II307","20533465","SD","Negeri","23 Feb 2022 07:09:44",17,321,12,21,7,8,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"91","6","SD NEGERI KEDUNGDORO IV309","20533448","SD","Negeri","12 Mar 2022 09:48:00",12,370,13,16,6,11,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"92","7","SD NEGERI KEDUNGDORO V310","20533449","SD","Negeri","09 Mar 2022 10:58:55",13,550,20,24,9,12,0,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"93","8","SD NEGERI KEPUTRAN I332","20533569","SD","Negeri","14 Mar 2022 13:02:25",4,536,18,20,8,20,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"94","9","SD NEGERI KEPUTRAN VI337","20533572","SD","Negeri","18 Feb 2022 09:55:46",6,223,7,9,5,8,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"95","10","SD NEGERI TEGALSARI I321","20539127","SD","Negeri","15 Mar 2022 10:34:24",17,352,11,14,6,12,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"96","11","SD NEGERI TEGALSARI II322","20532285","SD","Negeri","07 Mar 2022 20:36:25",8,189,6,7,5,5,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"97","12","SD NEGERI WONOREJO I312","20532409","SD","Negeri","10 Mar 2022 11:03:58",19,556,18,22,3,12,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"98","13","SD NEGERI WONOREJO III314","20532421","SD","Negeri","14 Mar 2022 09:57:05",6,281,11,13,5,6,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"99","14","SD NEGERI WONOREJO V316","20532424","SD","Negeri","22 Feb 2022 10:15:49",6,256,8,14,3,10,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"100","15","SD NEGERI WONOREJO VI317","20532425","SD","Negeri","10 Feb 2022 13:28:56",3,448,15,18,3,13,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"101","16","SD BAPTIS PENGHARAPAN","20531947","SD","Swasta","02 Mar 2022 12:07:46",3,70,6,8,1,6,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"102","17","SD DAPENA","20539150","SD","Swasta","07 Mar 2022 13:57:21",3,69,6,12,4,9,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"103","18","SD ISLAM HIMMATUN AYAT","70002939","SD","Swasta","12 Mar 2022 10:48:48",16,38,2,5,1,2,0,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"104","19","SD KARITAS I","20533018","SD","Swasta","22 Feb 2022 10:41:02",8,74,6,6,1,6,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"105","20","SD KATARINA","20533003","SD","Swasta","10 Mar 2022 08:43:29",11,211,6,9,5,11,3,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"106","21","SD KHADIJAH PANDEGILING","20565534","SD","Swasta","30 Jan 2022 19:44:04",6,387,13,16,5,13,3,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"107","22","SD KRISTEN PETRA I","20533129","SD","Swasta","16 Feb 2022 13:15:41",5,225,9,17,8,14,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"108","23","SD MARDI SUNU","20533135","SD","Swasta","06 Mar 2022 18:24:04",12,158,6,10,4,6,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"109","24","SD MAWAR SHARON CHRISTIAN SCHOOL","20541297","SD","Swasta","09 Mar 2022 13:03:42",28,575,23,34,2,24,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"110","25","SD MUSTAJABAH","20533098","SD","Swasta","31 Jan 2022 06:26:33",4,95,6,4,3,6,0,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"111","26","SD PRAJA MUKTI","20532974","SD","Swasta","09 Mar 2022 09:54:45",15,135,6,7,2,6,2,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"112","27","SD SERBAGUNA","20539200","SD","Swasta","14 Mar 2022 11:47:00",20,69,6,7,1,6,1,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"113","28","SD TRI BHAKTI","20532868","SD","Swasta","12 Mar 2022 10:51:15",24,92,6,7,1,8,3,2,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"114","29","SDS ANUGERAH PEKERTI","20563931","SD","Swasta","16 Mar 2022 11:06:02",5,75,6,11,3,6,2,2,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"115","30","SDSANTA MARIA SURABAYA","20532976","SD","Swasta","07 Mar 2022 13:24:38",14,563,18,25,10,18,3,1,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"116","Total","Total","Total","Total","Total","Total",368,9.108,339,442,139,316,50,33,"Data Sekolah Kec. Tegal Sari - Dapodikdasmen.html"
"117","1","SD N MANUKAN WETAN I NO. 114","20533548","SD","Negeri","10 Mar 2022 08:56:29",19,733,24,30,7,24,2,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"118","2","SD NEGERI BALONGSARI I500","20532934","SD","Negeri","18 Mar 2022 10:34:12",27,652,21,27,6,13,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"119","3","SD NEGERI BANJARSUGIHAN I116","20532936","SD","Negeri","10 Mar 2022 11:35:31",23,154,6,7,4,5,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"120","4","SD NEGERI BANJARSUGIHAN II117","20539091","SD","Negeri","24 Feb 2022 11:58:50",12,300,12,15,4,11,2,2,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"121","5","SD NEGERI BANJARSUGIHAN V 617","20532938","SD","Negeri","17 Mar 2022 14:11:00",18,255,9,11,9,9,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"122","6","SD NEGERI BIBIS 113","20532955","SD","Negeri","17 Mar 2022 10:55:46",43,182,6,7,5,5,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"123","7","SD NEGERI GADEL II-577","20532913","SD","Negeri","10 Mar 2022 11:00:10",12,386,12,14,6,12,2,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"124","8","SD NEGERI MANUKAN KULON","20533544","SD","Negeri","25 Feb 2022 09:36:12",18,960,31,43,11,27,1,2,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"125","9","SD NEGERI MANUKAN KULON II499","20533542","SD","Negeri","14 Mar 2022 14:03:00",25,737,24,32,10,22,2,2,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"126","10","SD NEGERI MANUKAN KULON VI","20533546","SD","Negeri","16 Mar 2022 07:03:57",20,332,12,15,4,10,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"127","11","SD NEGERI MANUKAN WETAN IV616","20533423","SD","Negeri","18 Mar 2022 12:42:24",16,262,8,11,5,9,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"128","12","SD NEGERI TANDES KIDUL I NO. 110","20532270","SD","Negeri","17 Mar 2022 15:14:11",34,1.187,42,51,11,26,4,2,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"129","13","SD INCLUSI AMARYLLIS","20541293","SD","Swasta","20 Aug 2021 17:35:39",0,0,0,5,2,6,0,0,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"130","14","SD ISLAM BAITUL FATTAH","20563669","SD","Swasta","25 Feb 2022 12:08:42",23,329,12,16,3,12,3,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"131","15","SD ISLAM TERPADU DAARUL MUTTAQIEN","20584023","SD","Swasta","17 Mar 2022 08:43:38",14,535,22,30,4,24,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"132","16","SD MUHAMMADIYAH 14","20539185","SD","Swasta","07 Mar 2022 08:55:43",11,326,12,19,5,12,1,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"133","17","SD RADEN PATAH","20539196","SD","Swasta","17 Mar 2022 11:05:52",18,442,18,25,3,19,2,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"134","18","SD SAMPOERNA (SAMPOERNA ACADEMY) SURABAYA","70012032","SD","Swasta","28 Jan 2022 11:48:04",1,18,1,1,1,1,4,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"135","19","SDKARITAS V","20533008","SD","Swasta","14 Mar 2022 08:37:48",14,262,9,12,5,9,4,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"136","20","SD Junior Activities Centre","20570688","SPK SD","Swasta","08 Feb 2022 08:18:57",5,544,23,33,2,23,2,1,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"137","Total","Total","Total","Total","Total","Total",353,8.596,304,404,107,279,36,23,"Data Sekolah Kec. Tandes - Dapodikdasmen.html"
"138","1","SD NEGERI GADING I 177","20532914","SD","Negeri","02 Mar 2022 07:24:09",8,694,20,23,7,10,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"139","2","SD NEGERI GADING III-179","20532916","SD","Negeri","10 Mar 2022 08:54:25",11,410,12,16,4,12,1,2,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"140","3","SD NEGERI GADING IV","20532917","SD","Negeri","16 Mar 2022 07:28:04",23,659,20,25,7,10,3,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"141","4","SD NEGERI GADING V","20532930","SD","Negeri","12 Mar 2022 08:34:18",34,723,21,25,9,15,0,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"142","5","SD NEGERI GADING VII536","20533478","SD","Negeri","10 Mar 2022 08:59:16",6,493,14,15,7,7,2,1,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
"143","6","SD NEGERI PACARKELING I - 182","20533168","SD","Negeri","07 Mar 2022 14:13:00",11,445,15,17,5,23,2,2,"Data Sekolah Kec. Tambaksari - Dapodikdasmen.html"
