"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"18","18","KB AS-SYIFA","69868885","KB","Swasta","28 Feb 2022 20:15:27",3,36,2,2,1,3,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"19","19","KB BALITA CERIA","69868876","KB","Swasta","01 Mar 2022 02:07:14",2,18,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"20","20","KB BINA CIPTA LESTARI","69868867","KB","Swasta","19 Feb 2022 10:21:26",2,58,2,2,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"21","21","KB BINA PERTIWI","69868887","KB","Swasta","17 Mar 2022 17:18:12",9,43,3,0,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"22","22","KB CEMPAKA","69868881","KB","Swasta","05 Mar 2022 10:00:09",4,27,2,1,3,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"23","23","KB DARUSSALAM","69868875","KB","Swasta","05 Mar 2022 06:38:30",10,62,3,4,2,3,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"24","24","KB DELIMA","69868871","KB","Swasta","01 Mar 2022 09:07:08",6,37,3,4,3,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"25","25","KB KENANGA","69868877","KB","Swasta","30 Aug 2021 19:20:09",0,0,0,1,2,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"26","26","KB MELATI","69868874","KB","Swasta","30 Sep 2021 13:33:46",0,0,0,2,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"27","27","KB NURUL FADILAH","69868866","KB","Swasta","24 Feb 2022 08:48:22",2,29,2,1,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"28","28","KB NURUL HUDA","69868884","KB","Swasta","19 Jan 2022 16:54:30",4,27,2,4,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"29","29","KB NURUL IHYA","69868865","KB","Swasta","07 Mar 2022 08:53:23",9,20,3,3,1,3,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"30","30","KB PELANGI","69868889","KB","Swasta","08 Mar 2022 17:55:37",5,44,2,2,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"31","31","KB RUMPUN BAMBU","69868870","KB","Swasta","16 Mar 2022 13:00:21",8,67,4,4,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"32","32","KB SAHABAT NAHAWAND","70024738","KB","Swasta","-",0,0,0,0,0,0,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"33","33","KB TUNAS HARAPAN","69868873","KB","Swasta","30 Jan 2022 22:35:57",2,29,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"34","34","KB TUNAS MULYA","69868864","KB","Swasta","27 Feb 2022 16:33:56",9,17,2,3,0,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"35","35","KB YUSUF AL-BAROKAH","69868888","KB","Swasta","28 Feb 2022 23:05:33",7,26,2,2,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"36","36","PAUD AL FURQON AISYIYAH","69957160","KB","Swasta","22 Jan 2022 08:30:47",8,17,2,2,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"37","37","PAUD AL-FALAH","70008077","KB","Swasta","25 Feb 2022 11:19:29",2,20,2,2,2,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"38","38","PAUD AL-IKHLAS","70002042","KB","Swasta","16 Mar 2022 18:17:08",15,41,3,4,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"39","39","PAUD HIDAYATUL FURQON","70000953","KB","Swasta","16 Mar 2022 12:49:13",24,42,2,3,2,4,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"40","40","PAUD NOOR FAJAR","70008366","KB","Swasta","11 Feb 2022 18:06:36",3,48,1,1,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"41","41","PAUD NURUL HIKMAH","70000226","KB","Swasta","01 Mar 2022 17:56:28",5,35,2,6,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"42","42","PAUD NURUL HUDA","70008171","KB","Swasta","24 Feb 2022 23:05:55",2,37,2,2,3,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"43","43","SPS MUTIARA BUNDA","69869787","SPS","Swasta","25 Feb 2022 23:06:35",6,42,2,1,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"44","44","SPS MUTIARA HATI","69869785","SPS","Swasta","27 Feb 2022 09:17:10",2,42,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"45","45","SPS PAUD ABCD SYARIFUDIN","70009808","SPS","Swasta","26 Feb 2022 03:41:55",9,25,1,2,2,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"46","46","SPS POSYANDU DAHLIA","69869782","SPS","Swasta","24 Feb 2022 07:53:36",2,60,4,4,3,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"47","47","SPS TAAM AZKIA","69869786","SPS","Swasta","30 Sep 2021 13:57:47",0,0,0,0,0,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"48","48","SPS TUNAS SEJAHTERA","69869784","SPS","Swasta","23 Aug 2021 13:30:30",0,0,0,3,0,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"49","49","SD N CINANGNENG 03","20201784","SD","Negeri","09 Mar 2022 11:41:48",5,189,8,9,2,11,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"50","50","SD N SITUDAUN 02","20200260","SD","Negeri","02 Mar 2022 08:19:50",6,96,6,6,1,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"51","51","SD N TAPOS 01","20200920","SD","Negeri","16 Mar 2022 09:41:15",14,264,8,8,2,9,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"52","52","SD N TENJOLAYA","20200933","SD","Negeri","04 Mar 2022 17:14:12",6,433,12,11,2,14,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"53","53","SD NEGERI CIBITUNG 01","20201047","SD","Negeri","17 Mar 2022 23:04:05",2,217,7,8,4,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"54","54","SD NEGERI CIBITUNG 02","20201061","SD","Negeri","22 Feb 2022 08:11:52",7,207,6,8,2,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"55","55","SD NEGERI CIBITUNG 03","20201009","SD","Negeri","10 Mar 2022 09:15:41",6,212,7,7,2,7,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"56","56","SD NEGERI CIBITUNG 04","20200956","SD","Negeri","10 Mar 2022 11:05:03",10,74,6,8,1,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"57","57","SD NEGERI CINANGNENG 01","20201782","SD","Negeri","07 Feb 2022 09:51:24",3,269,8,8,1,6,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"58","58","SD NEGERI CINANGNENG 02","20201783","SD","Negeri","07 Feb 2022 09:14:11",4,293,9,9,1,7,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"59","59","SD NEGERI GUNUNG MALANG 01","20201558","SD","Negeri","08 Mar 2022 22:17:06",8,135,6,7,1,4,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"60","60","SD NEGERI GUNUNG MALANG 02","20201559","SD","Negeri","17 Mar 2022 19:23:55",17,127,6,8,2,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"61","61","SD NEGERI SITUDAUN 01","20200259","SD","Negeri","15 Feb 2022 08:15:40",6,155,6,6,1,6,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"62","62","SD NEGERI TAPOS 02","20200922","SD","Negeri","11 Mar 2022 11:58:27",5,169,6,8,2,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"63","63","SD NEGERI TAPOS 03","20200924","SD","Negeri","06 Mar 2022 07:41:49",13,231,7,8,2,7,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"64","64","SD NEGERI TEGALLANGKAP 01","20200930","SD","Negeri","09 Mar 2022 10:24:03",4,248,10,10,1,11,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"65","65","SD NEGERI TEGALLANGKAP 02","20200931","SD","Negeri","09 Mar 2022 12:30:31",12,427,12,11,2,12,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"66","66","SDN SINARWANGI","69824468","SD","Negeri","17 Mar 2022 22:29:40",13,105,6,6,2,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"67","67","SDN TAPOS 04","20200926","SD","Negeri","07 Mar 2022 22:30:59",8,194,7,8,1,12,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"68","68","SD ISLAM NURUL HUDA","69880968","SD","Swasta","14 Feb 2022 09:35:08",4,127,6,6,1,6,0,2,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"69","69","SD IT ARRAHMANIAH","69909234","SD","Swasta","22 Feb 2022 14:39:32",4,146,6,4,2,6,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"70","70","SD IT SYAMSUL ULUM","69916439","SD","Swasta","09 Mar 2022 21:50:47",7,132,6,5,1,6,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"71","71","SDS ALMANAAR","20254583","SD","Swasta","23 Feb 2022 08:46:12",3,85,6,4,2,7,0,2,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"72","72","SDS IT PUI CIBIITUNG","20257703","SD","Swasta","14 Mar 2022 19:32:28",9,125,6,8,1,8,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"73","73","SMP NEGERI 1 TENJOLAYA","20200651","SMP","Negeri","17 Mar 2022 10:54:27",19,875,21,25,11,23,2,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"74","74","SMP ALDEPOS BOARDING SCHOOL","70010616","SMP","Swasta","22 Feb 2022 14:22:59",2,47,3,6,7,3,2,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"75","75","SMP BHAKTI NUGRAHA","69893980","SMP","Swasta","11 Feb 2022 19:32:58",5,188,5,3,1,6,2,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"76","76","SMP CENDEKIA","20251848","SMP","Swasta","18 Mar 2022 10:14:58",9,246,6,10,1,9,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"77","77","SMP GUNUNG MULYA","69892908","SMP","Swasta","09 Nov 2021 22:25:06",0,0,0,4,1,3,2,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"78","78","SMP IC MAGNET SCHOOL","69899814","SMP","Swasta","17 Mar 2022 09:41:09",11,19,3,0,1,3,3,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"79","79","SMP INSAN NUR MUHAMMAD","20231054","SMP","Swasta","08 Mar 2022 12:12:04",31,234,8,10,4,7,1,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"80","80","SMP IT MAJAMUL BAHRAIN","20231079","SMP","Swasta","18 Mar 2022 22:01:41",11,313,9,14,1,9,1,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"81","81","SMP IT YASHODA","69909221","SMP","Swasta","07 Mar 2022 11:21:55",5,54,3,5,1,3,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"82","82","SMP PGRI CIKUPA","20200708","SMP","Swasta","09 Mar 2022 14:23:32",16,327,9,7,6,7,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"83","83","SMP PGRI TENJOLAYA","20231138","SMP","Swasta","10 Mar 2022 12:37:48",15,208,6,8,1,7,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"84","84","SMPS AL JIHAD","20200633","SMP","Swasta","14 Mar 2022 09:36:00",18,266,7,5,1,5,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"85","85","SMPS GEMA BANGSA","20271386","SMP","Swasta","18 Mar 2022 10:01:33",21,224,9,8,1,6,2,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"86","86","SMAN 1 TENJOLAYA","69752279","SMA","Negeri","15 Mar 2022 18:56:16",34,584,18,30,8,14,4,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"87","87","SMA IC MAGNET SCHOOL","69901004","SMA","Swasta","14 Mar 2022 08:11:18",16,30,5,11,1,6,5,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"88","88","SMAS AL HIKMAH","20268875","SMA","Swasta","09 Mar 2022 20:05:49",12,442,12,14,0,11,4,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"89","89","SMAS AL JIHAD","20271985","SMA","Swasta","01 Mar 2022 10:59:26",14,324,8,4,0,3,2,2,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"90","90","SMK GEMA BANGSA","69927320","SMK","Swasta","10 Mar 2022 11:53:54",18,127,4,8,3,3,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"91","91","SMK PUTRA PELITA","10648861","SMK","Swasta","17 Mar 2022 16:46:46",21,697,19,11,2,14,2,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"92","92","SMK YAPURA 2","69904500","SMK","Swasta","10 Mar 2022 08:07:28",34,234,6,5,1,6,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"93","93","SMK ZENIA RAHMAT","69893379","SMK","Swasta","01 Mar 2022 10:09:59",20,215,6,3,1,7,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"94","94","SMKS BHAKTI NUGRAHA","69725855","SMK","Swasta","05 Mar 2022 00:33:01",6,127,6,24,6,6,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"95","95","SMKS INSAN NUR MUHAMMAD","20272052","SMK","Swasta","18 Mar 2022 14:08:09",21,153,6,5,3,6,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"96","96","SMKS YAPURA 1","20269158","SMK","Swasta","10 Mar 2022 08:58:43",25,435,13,14,9,13,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"97","97","PKBM COSMOS","P9970330","PKBM","Swasta","-",0,0,0,0,0,0,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"98","98","PKBM GRAHA WIDYA","P2960595","PKBM","Swasta","24 Feb 2022 07:28:12",7,697,10,4,1,7,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"99","99","PKBM NURUL HUDA","P2960594","PKBM","Swasta","05 Feb 2022 23:30:09",39,306,2,2,0,3,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"100","100","PKBM Nurul Ihya","P2960765","PKBM","Swasta","24 Jan 2022 08:22:16",25,265,2,1,1,8,1,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"101","101","PKBM Tunas Mulya","P2960755","PKBM","Swasta","23 Feb 2022 11:01:11",3,270,5,6,1,8,0,1,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"102","Total","Total","Total","Total","Total","Total",904,13.937,474,538,175,475,44,46,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"103","1","TK AL-MUSTHOFA","69920670","TK","Swasta","07 Mar 2022 13:54:56",6,36,2,2,0,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"104","2","AL HUJJAH","69869681","KB","Swasta","26 Sep 2021 20:39:03",0,0,0,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"105","3","IANATUL HUDA","69869680","KB","Swasta","16 Mar 2022 15:19:47",2,27,4,2,1,4,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"106","4","KB AL HASANAH","69869670","KB","Swasta","07 Mar 2022 16:58:24",7,38,3,3,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"107","5","KB AL HIMAYAH","69986175","KB","Swasta","14 Mar 2022 15:32:51",7,52,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"108","6","KB AL IKHWAN","69869687","KB","Swasta","13 Jan 2022 14:11:35",5,29,2,1,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"109","7","KB AL MUTATOWIR","69980081","KB","Swasta","08 Mar 2022 11:01:01",4,99,5,5,1,5,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"110","8","KB AL UNAYAH","69869672","KB","Swasta","18 Mar 2022 17:08:52",20,61,6,5,1,1,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"111","9","KB AL-MUBAROK","69992396","KB","Swasta","16 Sep 2021 23:17:44",0,0,0,4,0,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"112","10","KB AR-RAHMAH","69869686","KB","Swasta","16 Mar 2022 19:10:18",1,20,2,3,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"113","11","KB ASYIFA ISLAMIC SCHOOL","70005720","KB","Swasta","30 Oct 2021 21:25:01",0,0,0,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"114","12","KB AZZAHRA","69869668","KB","Swasta","13 Mar 2022 23:33:37",9,69,4,5,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"115","13","KB BAHRUL FALAH","69869684","KB","Swasta","25 Sep 2021 23:07:21",0,0,0,1,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"116","14","KB BAITUL ILMI","69869675","KB","Swasta","15 Mar 2022 22:09:29",4,61,2,1,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"117","15","KB BANI HARUN","69869678","KB","Swasta","29 Sep 2021 11:45:54",0,0,0,3,1,3,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"118","16","KB BANI MUHYIDDIN","69869669","KB","Swasta","07 Oct 2021 02:00:28",0,0,0,3,0,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"119","17","KB BINTANG","69984208","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"120","18","KB BUNDA","69869671","KB","Swasta","26 Sep 2021 20:40:45",0,0,0,6,1,4,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"121","19","KB CILAKU BERSINAR","69869685","KB","Swasta","30 Sep 2021 23:52:21",0,0,0,3,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"122","20","KB DARUL ISHAQ","70005767","KB","Swasta","09 Mar 2022 18:59:45",6,111,5,4,1,5,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"123","21","KB DELIMA","69869682","KB","Swasta","26 Sep 2021 10:20:22",0,0,0,3,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"124","22","KB FAMILY PUTRA","69869667","KB","Swasta","07 Mar 2022 00:13:47",8,40,3,3,2,3,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"125","23","KB MATHLAUL HUDA","69869674","KB","Swasta","10 Mar 2022 23:01:29",5,62,6,4,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"126","24","KB NURUL FALAH","69869676","KB","Swasta","26 Sep 2021 21:48:21",0,0,0,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"127","25","KB NURUL IBTIDAIYAH","69988663","KB","Swasta","10 Mar 2022 09:00:03",16,58,2,1,0,3,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"128","26","KB NURUL ILMI","69967565","KB","Swasta","07 Mar 2022 13:27:36",3,28,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"129","27","KB NUSANTARA","69984207","KB","Swasta","13 Oct 2021 10:12:24",0,0,0,2,0,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"130","28","KB PELANGI","69869677","KB","Swasta","30 Sep 2021 11:17:53",0,0,0,1,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"131","29","KB. HIDAYATUL FALAH","69869683","KB","Swasta","28 Feb 2022 20:42:00",1,56,3,2,1,3,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"132","30","KB. MIFTAHUL HUDA","69869665","KB","Swasta","05 Mar 2022 00:18:40",12,1,2,1,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"133","31","PAUD AL BAROKAH","69916851","KB","Swasta","-",0,0,0,0,0,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"134","32","PAUD AL FARISI TAPOS","69954266","KB","Swasta","18 Mar 2022 08:53:19",7,39,3,3,0,4,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"135","33","PAUD AL-HIDAYAH","69943586","KB","Swasta","15 Mar 2022 22:03:53",2,55,4,3,0,4,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"136","34","PAUD ASIH","69916876","KB","Swasta","15 Mar 2022 06:29:17",5,27,2,1,2,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"137","35","PAUD BABUSSALAM","69942844","KB","Swasta","01 Nov 2021 11:43:47",0,0,0,3,1,1,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"138","36","PAUD BARENGKOK","69942835","KB","Swasta","26 Sep 2021 12:31:16",0,0,0,2,0,3,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"139","37","PAUD DAARUL FIKRI NEGLASARI","69955372","KB","Swasta","16 Mar 2022 10:43:07",6,17,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"140","38","PAUD DAARUL IMAN","70000335","KB","Swasta","09 Sep 2021 22:28:08",0,0,0,2,1,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"141","39","PAUD DARUL IBTIDAIYAH","69952449","KB","Swasta","17 Mar 2022 11:40:14",1,44,3,2,1,3,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"142","40","PAUD ISLAM AL IDRUS","69869679","KB","Swasta","10 Feb 2022 17:10:57",2,67,6,5,1,6,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"143","41","PAUD MIFTAHUL HASANAH","69942838","KB","Swasta","03 Feb 2022 14:09:55",1,42,2,2,2,2,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
"144","42","PAUD NURUL HUDA CIKUKUK","69942832","KB","Swasta","27 Dec 2021 08:44:51",0,0,0,3,0,1,0,0,"Data Peserta Didik Kec. Tenjo - Dapodikdasmen.html"
